                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60791,                 0.6167,                0.97148,                0.80496,                0.65672,                0.68129,                0.49875,                 1.1243,                 2.1369,                 1.4066,              0.0096535,              0.0096535,              0.0096535
                     37,                0.59476,                0.53423,                0.94405,                0.90788,                0.58846,                 0.6862,                0.52396,                 1.0642,                 1.5043,                 1.3474,              0.0096436,              0.0096436,              0.0096436
                     38,                0.65183,                0.52275,                 0.9745,                0.88517,                0.70149,                0.78647,                0.59937,                0.96205,                 1.4105,                 1.2899,              0.0096337,              0.0096337,              0.0096337
                     39,                0.61588,                0.57013,                0.97257,                0.76709,                0.63907,                0.71579,                  0.531,                0.94332,                 1.4832,                 1.2941,              0.0096238,              0.0096238,              0.0096238
                     40,                0.60092,                 0.5358,                0.96684,                0.76245,                0.73134,                0.76048,                0.58635,                0.85263,                 1.8716,                 1.2653,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.6008,                0.50726,                0.95514,                0.73465,                 0.7025,                0.74047,                0.53517,                0.94299,                 2.3084,                 1.3296,               0.009604,               0.009604,               0.009604
                     42,                0.59353,                0.52038,                0.96247,                0.74054,                 0.5964,                0.64932,                0.44684,                 1.0999,                 2.6112,                 1.4936,              0.0095941,              0.0095941,              0.0095941
                     43,                0.61242,                0.55098,                 0.9819,                0.71433,                0.59715,                0.65172,                0.46531,                0.95373,                 1.7514,                 1.3401,              0.0095842,              0.0095842,              0.0095842
                     44,                0.61555,                0.53155,                0.97776,                0.71946,                0.59701,                0.66838,                0.50546,                0.91203,                 2.4754,                 1.3599,              0.0095743,              0.0095743,              0.0095743
                     45,                0.64103,                0.52998,                0.98104,                0.42254,                0.68657,                 0.6049,                0.47228,                0.95503,                 6.4587,                  1.456,              0.0095644,              0.0095644,              0.0095644
                     46,                0.60495,                0.58356,                0.98961,                0.60282,                0.62687,                0.63655,                0.51181,                0.86617,                 3.5623,                 1.3507,              0.0095545,              0.0095545,              0.0095545
                     47,                0.59254,                 0.5234,                0.97372,                0.37624,                0.76119,                0.69245,                0.55721,                0.85306,                 7.7484,                 1.2989,              0.0095446,              0.0095446,              0.0095446
